file_name,SAR,ILP,frequency,magnetic field,concentration,size,saturation magnetization,coercivity,magnetic remanence,temperature,DLS,Coated,X-ray
S4_00019.pdf,16,0,7,2,3,17,10,3,6,1,0,5,9
S4_00016.pdf,11,8,5,2,0,11,8,0,0,10,0,0,8
S4_00013.pdf,7,0,5,7,4,17,0,0,0,2,0,1,1
S4_00017.pdf,5,0,2,3,0,7,0,0,0,0,0,0,9
S4_00007.pdf,4,0,0,4,1,6,2,2,0,4,0,0,0
S4_00002.pdf,3,0,1,2,0,6,1,0,0,0,1,0,0
S4_00010.pdf,3,0,1,1,0,3,0,0,0,2,0,0,0
S4_00004.pdf,2,0,1,5,0,9,0,0,0,1,2,2,0
S4_00003.pdf,2,0,1,6,0,4,0,0,0,11,0,4,1
S4_00006.pdf,0,0,0,2,0,13,11,3,0,1,0,7,0
S4_00011.pdf,0,0,0,0,0,10,0,0,0,5,0,0,1
S4_00009.pdf,0,0,0,2,0,1,11,0,0,1,0,0,0
S4_00005.pdf,0,0,0,0,0,9,0,4,0,1,2,0,0
S4_00015.pdf,0,0,0,2,0,6,4,0,0,0,0,0,1
S4_00018.pdf,0,0,0,1,0,15,4,9,1,1,0,0,1
S4_00020.pdf,0,0,0,4,0,3,0,0,0,1,0,0,0
S4_00012.pdf,0,0,0,3,2,5,3,3,0,2,1,0,0
S4_00008.pdf,0,0,0,5,0,21,2,0,0,3,2,1,0
S4_00014.pdf,0,0,6,2,7,8,2,0,0,5,0,0,1
S4_00001.pdf,0,0,0,3,0,1,2,0,0,3,0,0,0
